rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chr6	125435508	125435535	242840	+	chr19	3834461	3834487	+	ENSG00000226409	lncRNA
chr6	85631291	85631317	124098	+	chr17	47451544	47451570	-	ENSG00000271793	protein_coding
chr6	85631291	85631317	124098	+	chr17	47451544	47451570	-	SYNCRIP	protein_coding
chr6	146962950	146962977	2066	+	chr6	149079639	149079665	-	STXBP5-AS1	lncRNA
chr6	125246363	125246390	218716	+	chr9	73056142	73056168	-	HDDC2	protein_coding
chr6	124834871	124834898	180408	+	chr3	143120915	143120941	+	RNF217-AS1	lncRNA
chr6	33787653	33787680	162159	+	chr6	34245641	34245662	-	LEMD2	protein_coding
chr6	64659331	64659358	143957	+	chr7	127410611	127410637	+	EYS	protein_coding
chr6	30197492	30197519	218545	+	chr6	48450192	48450218	+	TRIM26	protein_coding
chr6	147091655	147091682	71390	+	chr10	64606496	64606522	-	STXBP5-AS1	lncRNA
chr6	28585469	28585496	239419	+	chr6	83428095	83428121	-	ZBED9	protein_coding
chr6	33785053	33785081	235484	+	chr5	141033084	141033110	-	LEMD2	protein_coding
chr6	29617415	29617454	197126	+	chr7	121505182	121505208	+	GABBR1	protein_coding
chr6	38554380	38554407	224549	+	chr6	77542689	77542715	+	BTBD9	protein_coding
chr6	108452775	108452803	94294	+	chr6	106971631	106971658	+	ENSG00000287044	lncRNA
chr6	33296751	33296778	133537	+	chr6	33254571	33254597	-	RGL2	protein_coding
chr6	39383304	39383332	30606	+	chr6	39386291	39386317	-	KIF6	protein_coding
chr6	140660233	140660259	44902	+	chr6	137332307	137332333	+	ENSG00000234147	lncRNA
chr6	131288478	131288506	177867	+	chr6	107437936	107437962	+	ENSG00000290067	lncRNA
chr6	17764700	17764727	122760	+	chr2	163484545	163484571	+	KIF13A	protein_coding
chr6	125222877	125222903	152743	+	chr6	126489674	126489700	-	HDDC2	protein_coding
chr6	38622320	38622347	117500	+	chr13	101300966	101300992	-	BTBD9	protein_coding
chr6	124712491	124712519	152132	+	chr4	121101276	121101303	-	RNF217-AS1	lncRNA
chr6	33724543	33724569	199418	+	chr6	48991656	48991682	+	IP6K3	protein_coding
chr6	6178817	6178843	53905	+	chr9	63077474	63077499	+	F13A1	protein_coding
chr6	47918574	47918600	174790	+	chr4	86881697	86881723	-	PTCHD4	protein_coding
chr6	108242332	108242360	93520	+	chr11	77478570	77478596	-	SNX3	protein_coding
chr6	38492558	38492585	209131	+	chr6	136482431	136482457	+	BTBD9	protein_coding
chr6	38564669	38564695	121085	+	chr3	120711525	120711552	-	BTBD9	protein_coding
chr6	30054240	30054266	108270	+	chr6	30096168	30096193	-	POLR1HASP	transcribed_unitary_pseudogene
chr6	3586794	3586822	108255	+	chr6	3529177	3529203	-	ENSG00000228793	lncRNA
chr6	100846422	100846450	20758	+	chr6	146245533	146245559	+	ASCC3	protein_coding
chr6	100836226	100836252	54861	+	chr6	100835410	100835437	+	ASCC3	protein_coding
chr6	124715477	124715503	224041	+	chr11	95914427	95914452	-	RNF217-AS1	lncRNA
chr6	30033606	30033633	94383	+	chr6	30337236	30337262	+	POLR1HASP	transcribed_unitary_pseudogene
chr6	128454919	128454946	213567	+	chr6	110506544	110506569	-	PTPRK	protein_coding
chr6	147048909	147048935	85622	+	chr6	147049372	147049398	-	STXBP5-AS1	lncRNA
chr6	30105952	30105978	165458	+	chr9	57757979	57758005	+	TRIM31	protein_coding
chr6	31492339	31492365	2689	+	chr6	37892026	37892052	+	MICB-DT	lncRNA
chr6	136560869	136560896	50591	+	chr16	37402335	37402362	+	MAP3K5	protein_coding
chr6	47866432	47866458	157968	+	chr6	48787768	48787794	-	PTCHD4	protein_coding
chr6	38568073	38568100	70173	+	chr13	113816743	113816769	-	BTBD9	protein_coding
chr6	54060571	54060598	174814	+	chr11	53098072	53098098	+	MLIP-AS1	lncRNA
chr6	92094738	92094766	227450	+	chr6	113218798	113218824	+	ENSG00000285961	lncRNA
chr6	34601018	34601045	149546	+	chr6	31442297	31442324	+	ILRUN	protein_coding
chr6	146949826	146949853	105896	+	chr6	89155856	89155882	-	STXBP5-AS1	lncRNA
chr6	146949826	146949853	105896	+	chr6	89155856	89155882	-	ENSG00000272397	lncRNA
chr6	31484339	31484366	158618	+	chr10	68556993	68557019	-	MICB-DT	lncRNA
chr6	92097870	92097897	161102	+	chr6	92272697	92272723	+	ENSG00000285961	lncRNA
chr6	17665934	17665961	61229	+	chr1	87841597	87841622	+	NUP153	protein_coding
chr6	49635864	49635890	89140	+	chr18	76396878	76396904	+	RHAG	protein_coding
chr6	40478333	40478359	37167	+	chr19	31961031	31961057	-	LRFN2	protein_coding
chr6	33695919	33695945	118777	+	chr6	33055611	33055637	-	UQCC2	protein_coding
chr6	129534627	129534654	56531	+	chr17	39846032	39846058	+	ENSG00000226149	lncRNA
chr6	38558613	38558641	37129	+	chr14	120326707	120326733	-	BTBD9	protein_coding
chr6	122476051	122476079	242119	-	chr18	72295486	72295512	-	PKIB	protein_coding
chr6	122476051	122476079	242119	-	chr18	72295486	72295512	-	ENSG00000279114	TEC
chr6	47533747	47533774	219827	-	chr10	107406918	107406944	+	CD2AP	protein_coding
chr6	114876630	114876656	60181	-	chr6	114194393	114194419	-	ENSG00000287097	lncRNA
chr6	71913444	71913471	156669	-	chr1	158283578	158283605	+	RIMS1	protein_coding
chr6	142385455	142385482	192403	-	chr6	113009152	113009178	-	ADGRG6	protein_coding
chr6	120504590	120504618	125907	-	chr6	91092702	91092728	-	ENSG00000286540	lncRNA
chr6	37361057	37361083	97489	-	chr6	97532197	97532222	+	RNF8	protein_coding
chr6	148821181	148821208	200124	-	chr3	96153461	96153487	-	UST	protein_coding
chr6	122485081	122485109	221495	-	chr4	41216932	41216958	+	PKIB	protein_coding
chr6	118119618	118119645	94576	-	chr4	131358893	131358919	-	SLC35F1	protein_coding
chr6	72728780	72728807	203116	-	chr6	72479188	72479213	+	KCNQ5	protein_coding
chr6	72732158	72732185	23988	-	chr6	112496249	112496275	+	KCNQ5	protein_coding
chr6	73803867	73803890	24228	-	chr3	107076585	107076611	-	CD109	protein_coding
chr6	30239104	30239130	2863	-	chr11	23691154	23691180	-	TRIM26BP	unprocessed_pseudogene
chr6	73083074	73083101	41455	-	chr5	140174947	140174973	+	KCNQ5	protein_coding
chr6	101521475	101521503	204833	-	chr6	101521796	101521822	+	GRIK2	protein_coding
chr6	37009268	37009295	189673	-	chr16	40761063	40761088	+	FGD2	protein_coding
chr6	116162310	116162338	124889	-	chr6	38283785	38283811	-	NT5DC1	protein_coding
chr6	119684751	119684778	121469	-	chr6	120290016	120290042	-	ENSG00000287100	lncRNA
chr6	71894809	71894836	132534	-	chr6	71778194	71778221	-	RIMS1	protein_coding
chr6	134490362	134490388	151987	-	chr11	119516213	119516239	-	LINC01010	lncRNA
chr6	101148857	101148883	240553	-	chr3	105935983	105936009	-	GRIK2	protein_coding
chr6	47579309	47579336	190995	-	chr6	50027872	50027897	-	CD2AP	protein_coding
chr6	35061616	35061644	133707	-	chr8	85545448	85545474	-	ANKS1A	protein_coding
chr6	143099717	143099744	234675	-	chr9	73240189	73240215	-	AIG1	protein_coding
chr6	125186361	125186387	239461	-	chrX	119195691	119195716	+	TPD52L1	protein_coding
chr6	125186358	125186385	168573	-	chr10	102974699	102974724	-	TPD52L1	protein_coding
chr6	58041713	58041740	217736	-	chr3	47166917	47166943	-	ENSG00000225096	lncRNA
chr6	101322509	101322536	158467	-	chr6	93006896	93006922	+	GRIK2	protein_coding
chr6	38818611	38818638	57115	-	chr8	71633141	71633166	-	DNAH8	protein_coding
chr6	38725998	38726025	118782	-	chr1	161408561	161408587	+	DNAH8	protein_coding
chr6	85473613	85473640	109287	-	chr6	85502374	85502399	-	NT5E	protein_coding
chr6	47565424	47565451	159012	-	chr6	46325024	46325049	+	CD2AP	protein_coding
chr6	71890444	71890471	193771	-	chr4	128630481	128630500	+	RIMS1	protein_coding
chr6	147731810	147731836	4167	-	chr10	85374930	85374956	+	SAMD5	protein_coding
chr6	147731810	147731836	4167	-	chr10	85374930	85374956	+	ENSG00000227681	lncRNA
chr6	124814847	124814874	181365	-	chr1	128753877	128753903	-	NKAIN2	protein_coding
chr6	143096510	143096536	39945	-	chr11	104690087	104690112	-	AIG1	protein_coding
chr6	12132042	12132069	21049	-	chr17	19473092	19473118	+	HIVEP1	protein_coding
chr6	140153534	140153561	63637	-	chr12	107744354	107744381	+	ENSG00000288714	lncRNA
chr6	135199701	135199728	27676	-	chr6	34629860	34629886	-	MYB	protein_coding
chr6	148939457	148939485	28135	-	chr12	71132640	71132666	-	UST	protein_coding
chr6	29552855	29552882	135163	-	chr6	40511440	40511466	-	OR2I1P	protein_coding
chr6	119404591	119404618	129047	-	chr15	39546505	39546531	+	ENSG00000287100	lncRNA
chr6	119409443	119409470	129323	-	chr2	181038992	181039018	-	ENSG00000287100	lncRNA
chr6	87632004	87632031	192090	-	chr2	151322714	151322740	+	ORC3	protein_coding
chr6	37277961	37277988	149256	-	chr6	112425605	112425630	+	TBC1D22B	protein_coding
chr6	113070821	113070848	203405	-	chr17	23770627	23770652	-	ENSG00000288560	lncRNA
chr6	146550648	146550674	91704	-	chr10	69068962	69068988	-	RAB32	protein_coding
chr6	37375628	37375655	23214	-	chr6	35245106	35245132	+	RNF8	protein_coding
chr6	148847207	148847234	76970	-	chr6	137743072	137743097	-	UST	protein_coding
chr6	43658060	43658087	4015	-	chr11	43031290	43031316	-	RSPH9	protein_coding
chr6	84707160	84707187	62228	-	chr6	84708420	84708447	+	TBX18-AS1	lncRNA
chr6	119406002	119406029	54780	-	chr6	136570620	136570647	-	ENSG00000287100	lncRNA
chr6	54191801	54191828	160222	-	chr6	114331087	114331113	-	MLIP	protein_coding
chr6	146632545	146632573	10358	-	chr19	12842676	12842702	+	ADGB	protein_coding
chr6	149152693	149152720	19714	-	chr3	76655025	76655051	+	ENSG00000289359	lncRNA
chr6	93726859	93726886	196588	-	chr2	34542979	34543005	-	ENSG00000288085	lncRNA
chr6	31547990	31548017	127953	-	chr6	29381510	29381536	-	NFKBIL1	protein_coding
chr6	97603853	97603880	136946	-	chr6	98033304	98033330	+	ENSG00000271860	lncRNA
chr6	52617308	52617335	229606	-	chr4	136640633	136640659	+	TRAM2-AS1	lncRNA
chr6	120621310	120621337	74113	-	chr8	83670735	83670761	-	ENSG00000286540	lncRNA
chr6	125186491	125186518	54995	-	chr6	13294575	13294601	+	TPD52L1	protein_coding
chr6	125186491	125186518	210596	-	chr11	101243642	101243668	+	TPD52L1	protein_coding
chr6	125186491	125186518	8865	-	chr2	29045824	29045849	+	TPD52L1	protein_coding
chr6	125186491	125186518	125553	-	chr11	120782157	120782177	+	TPD52L1	protein_coding
chr6	42641666	42641693	19826	-	chr6	38130190	38130216	+	UBR2	protein_coding
chr6	36957728	36957755	221717	-	chr8	128479967	128479993	+	PI16	protein_coding
chr6	119401406	119401432	216283	-	chr13	109782215	109782240	+	ENSG00000287100	lncRNA
chr6	116146651	116146678	23944	-	chr6	116291550	116291576	-	NT5DC1	protein_coding
chr6	136824820	136824847	30364	-	chr6	90493491	90493517	+	PEX7	protein_coding
chr6	143069070	143069097	70838	-	chrX	163362601	163362627	+	AIG1	protein_coding
chr6	148798775	148798802	210485	-	chr9	58682967	58682993	+	UST	protein_coding
chr6	125188269	125188295	162137	-	chr6	125496616	125496642	-	TPD52L1	protein_coding
chr6	125181108	125181134	120593	-	chr6	85921727	85921754	+	TPD52L1	protein_coding
chr6	72734690	72734717	199823	-	chr6	81810219	81810245	+	KCNQ5	protein_coding
chr6	89562988	89563015	208620	-	chr16	13447113	13447139	+	ANKRD6	protein_coding
chr6	43403202	43403229	165723	-	chr19	34500847	34500873	-	ENSG00000287055	lncRNA
chr6	108612983	108613010	8575	-	chr8	16253489	16253514	-	FOXO3	protein_coding
chr6	146396316	146396343	160946	-	chr19	40608327	40608353	-	GRM1	protein_coding
chr6	124820513	124820540	173284	-	chr7	110325114	110325140	-	NKAIN2	protein_coding
chr6	43600062	43600088	213881	-	chr6	43274132	43274159	-	POLH	protein_coding
chr6	72673681	72673707	219345	-	chr6	99769213	99769239	-	KCNQ5	protein_coding
chr6	35041408	35041434	176864	-	chr6	72276723	72276749	+	ANKS1A	protein_coding
chr6	119519431	119519458	237310	-	chr6	118659610	118659636	-	ENSG00000287100	lncRNA
chr6	35012984	35013011	34649	-	chr6	35539737	35539762	-	ANKS1A	protein_coding
chr6	125186360	125186386	194403	-	chr3	115661900	115661926	+	TPD52L1	protein_coding
chr6	125186358	125186384	3960	-	chr2	167561269	167561294	-	TPD52L1	protein_coding
chr6	125186358	125186384	22062	-	chr8	126725139	126725178	-	TPD52L1	protein_coding
chr6	125186358	125186384	111924	-	chr10	41498273	41498299	+	TPD52L1	protein_coding
chr6	47561280	47561306	218376	-	chr11	99307546	99307572	-	CD2AP	protein_coding
chr6	72329928	72329955	142934	-	chr14	120814834	120814859	+	RIMS1	protein_coding
chr6	142314095	142314122	134059	-	chr4	9675688	9675713	-	ADGRG6	protein_coding
chr6	119358922	119358950	55720	-	chr12	88383537	88383563	-	ENSG00000287100	lncRNA
chr6	4726020	4726047	16974	-	chr16	30888875	30888901	-	CDYL	protein_coding
chr6	31897907	31897934	41315	-	chr15	59895441	59895467	+	C2	protein_coding
chr6	8675052	8675079	9028	-	chr6	9284597	9284623	-	ENSG00000285216	lncRNA
chr6	8675052	8675079	9028	-	chr6	9284597	9284623	-	HULC	lncRNA
chr6	74451801	74451828	167613	-	chr2	167686046	167686072	-	ENSG00000223786	lncRNA
chr6	22349308	22349336	207287	-	chr17	37708236	37708262	+	CASC15	lncRNA
chr6	97315088	97315115	171341	-	chr5	128775069	128775095	+	ENSG00000271860	lncRNA
chr6	97006030	97006057	188416	-	chr6	96909656	96909682	-	KLHL32	protein_coding
chr6	148843338	148843365	242515	-	chr6	142416731	142416757	+	UST	protein_coding
chr6	108155484	108155511	197796	-	chr6	27089940	27089966	-	OSTM1-AS1	lncRNA
chr6	39972283	39972310	71602	-	chr1	169420927	169420953	-	TUBBP9	transcribed_processed_pseudogene
chr6	119404737	119404763	189221	-	chr6	119377251	119377277	-	ENSG00000287100	lncRNA
chr6	37441079	37441106	150384	-	chr16	17934928	17934954	-	CMTR1	protein_coding
chr6	71888624	71888652	132024	-	chr12	51572349	51572375	+	RIMS1	protein_coding
chr6	54332407	54332434	27379	-	chr6	54332050	54332075	+	TINAG	protein_coding
chr6	72759945	72759972	187764	-	chr7	99755397	99755423	+	KCNQ5	protein_coding
chr6	125001742	125001769	65595	-	chr2	98662509	98662534	+	RNF217	protein_coding
chr6	83141069	83141096	142090	-	chr11	68975302	68975328	+	DOP1A	protein_coding
chr6	55106927	55106954	223214	-	chr6	54497013	54497038	+	HCRTR2	protein_coding
chr6	101346217	101346244	230474	-	chr6	101708344	101708370	+	GRIK2	protein_coding
chr6	97115860	97115887	255	-	chr6	117111667	117111693	+	KLHL32	protein_coding
chr6	114881581	114881608	202924	-	chr6	118067981	118068006	+	ENSG00000287097	lncRNA
chr6	47795943	47795969	124256	-	chr6	72427233	72427259	-	OPN5	protein_coding
chr6	116186726	116186752	224277	-	chr6	119542285	119542310	-	NT5DC1	protein_coding
chr6	94173432	94173458	238355	-	chr1	156471293	156471319	+	ENSG00000231143	lncRNA
chr6	101858124	101858150	234351	-	chr13	53275206	53275232	+	GRIK2	protein_coding
chr6	133471230	133471257	223873	-	chr15	98857905	98857930	+	EYA4	protein_coding
chr6	46530161	46530187	133940	-	chr11	62524412	62524438	-	RCAN2-DT	lncRNA
chr6	148858748	148858774	76745	-	chr8	121418893	121418918	+	UST	protein_coding
chr6	128069104	128069132	102367	-	chr10	9038013	9038039	-	PTPRK-AS1	lncRNA
chr6	35539982	35540008	36948	-	chr2	39763560	39763586	+	ENSG00000228559	lncRNA
chr6	119390405	119390431	39666	-	chr13	16699265	16699291	+	ENSG00000287100	lncRNA
chr6	148345002	148345029	126600	-	chr6	146249524	146249549	+	SASH1	protein_coding
chr6	21192838	21192865	173231	-	chr2	158476139	158476164	-	CDKAL1	protein_coding
chr6	94182121	94182147	140551	-	chr4	49492081	49492106	-	ENSG00000231143	lncRNA
chr6	47547395	47547422	51175	-	chr14	61709943	61709969	+	CD2AP	protein_coding
chr6	124763072	124763099	240712	-	chr7	84846396	84846422	+	NKAIN2	protein_coding
chr6	72726344	72726370	78687	-	chr9	100713428	100713454	-	KCNQ5	protein_coding
chr6	30266867	30266894	131455	-	chr3	33907691	33907717	-	HLA-L	lncRNA
chr6	148323132	148323159	26480	-	chr10	77522277	77522303	+	SASH1	protein_coding
chr6	8760730	8760756	13378	-	chr1	34209575	34209601	+	HULC	lncRNA
chr6	124711898	124711924	163007	-	chr15	68789919	68789945	-	NKAIN2	protein_coding
chr6	128078756	128078783	66127	-	chr6	131636023	131636049	-	PTPRK-AS1	lncRNA
chr6	85289960	85289987	211846	-	chr6	144397929	144397955	-	ENSG00000217060	unprocessed_pseudogene
chr6	120528895	120528921	190511	-	chr6	120994720	120994746	-	ENSG00000286540	lncRNA
chr6	52616198	52616225	136294	-	chr11	69407434	69407460	+	TRAM2-AS1	lncRNA
chr6	32342427	32342454	41740	-	chr4	46289053	46289078	+	TSBP1-AS1	lncRNA
chr6	143095115	143095142	155143	-	chr6	143078995	143079021	+	AIG1	protein_coding
chr6	52615939	52615965	58216	-	chr6	148148619	148148643	+	TRAM2-AS1	lncRNA
chr6	72344870	72344897	64886	-	chr19	38868462	38868488	+	RIMS1	protein_coding
chr6	72958125	72958152	104456	-	chr2	85057243	85057268	-	KCNQ5	protein_coding
chr6	128075204	128075231	139167	-	chr8	116226274	116226300	+	PTPRK-AS1	lncRNA
chr6	22355709	22355735	132179	-	chr6	45703532	45703558	+	CASC15	lncRNA
chr6	72850421	72850447	244186	-	chr6	52246951	52246976	-	KCNQ5	protein_coding
chr6	119399808	119399834	222214	-	chr7	54150548	54150574	-	ENSG00000287100	lncRNA
chr6	31134620	31134646	159150	-	chr6	22224963	22224988	+	PSORS1C1	protein_coding
chr6	30880073	30880099	74192	-	chr6	29676070	29676096	+	DDR1	protein_coding
chr6	31724130	31724156	188952	-	chr1	172868147	172868172	-	MPIG6B	protein_coding
chr6	72854145	72854172	194450	-	chr18	30373200	30373226	-	KCNQ5	protein_coding
chr6	94172461	94172489	243021	-	chr6	98651825	98651850	-	ENSG00000231143	lncRNA
chr6	119402848	119402875	74955	-	chr16	55041294	55041319	-	ENSG00000287100	lncRNA
chr6	22310045	22310072	10473	-	chr6	21951418	21951444	+	CASC15	lncRNA
chr6	22347137	22347163	1329	-	chr11	39596803	39596829	-	CASC15	lncRNA
chr6	125180701	125180728	248006	-	chr6	135055338	135055364	+	TPD52L1	protein_coding
chr6	54134586	54134612	33236	-	chr6	54134934	54134959	+	MLIP	protein_coding
chr6	143093468	143093495	149551	-	chr6	134374245	134374270	+	AIG1	protein_coding
chr6	52619189	52619215	38203	-	chr14	25054723	25054748	-	TRAM2-AS1	lncRNA
chr6	72777504	72777531	43113	-	chr6	71584905	71584931	+	KCNQ5	protein_coding
chr6	31117741	31117768	112043	-	chr10	60776912	60776938	-	PSORS1C1	protein_coding
chr6	52625218	52625245	160886	-	chr6	52625592	52625619	+	TRAM2-AS1	lncRNA
chr6	47557111	47557138	189249	-	chr5	4060633	4060658	-	CD2AP	protein_coding
chr6	114933074	114933101	218488	-	chr6	115169090	115169116	+	ENSG00000287097	lncRNA
chr6	96982423	96982449	58507	-	chr5	143354383	143354409	-	KLHL32	protein_coding
chr6	85161555	85161581	161379	-	chr2	106786083	106786108	+	ENSG00000220291	unprocessed_pseudogene
chr6	146625185	146625212	232023	-	chr3	107684046	107684072	+	ADGB	protein_coding
chr6	22341295	22341322	77917	-	chr12	36075155	36075180	+	CASC15	lncRNA
chr6	143122207	143122234	29782	-	chr6	104804693	104804719	+	AIG1	protein_coding
chr6	118129058	118129085	162957	-	chr11	109723508	109723534	+	SLC35F1	protein_coding
chr6	125172968	125172995	131241	-	chr9	108447833	108447858	+	TPD52L1	protein_coding
chr6	47589798	47589825	82138	-	chr6	91627069	91627095	-	CD2AP	protein_coding
chr6	72893868	72893895	38673	-	chr17	71194952	71194978	-	KCNQ5	protein_coding
chr6	17290684	17290711	127374	-	chr1	189781065	189781091	+	RBM24	protein_coding
chr6	22309358	22309385	151225	-	chr3	44925189	44925215	-	CASC15	lncRNA
chr6	117643126	117643153	23459	-	chrX	19735825	19735851	+	NEPNP	unitary_pseudogene
chr6	72886232	72886259	26691	-	chr16	12783684	12783710	+	KCNQ5	protein_coding
chr6	113077124	113077150	143789	-	chr6	108629178	108629204	+	ENSG00000288560	lncRNA
chr6	31198414	31198441	191458	-	chr9	66830520	66830545	-	HCG27	lncRNA
chr6	124822666	124822693	28882	-	chr3	57032273	57032299	+	NKAIN2	protein_coding
chr6	72768229	72768251	223800	-	chr6	115976641	115976667	+	KCNQ5	protein_coding
chr6	71901256	71901283	194264	-	chr10	81322739	81322765	-	RIMS1	protein_coding
chr6	52604012	52604038	162192	-	chr6	83778053	83778080	-	TRAM2-AS1	lncRNA
chr6	47788100	47788127	3060	-	chr10	80190411	80190437	-	OPN5	protein_coding
chr6	134484924	134484951	133328	-	chr6	109560685	109560711	+	LINC01010	lncRNA
chr6	148401268	148401295	156170	-	chr3	68646380	68646405	+	SASH1	protein_coding
chr6	15384576	15384603	108585	-	chr1	119839359	119839385	+	JARID2	protein_coding
chr6	87614931	87614958	30514	-	chr14	65596848	65596874	-	ORC3	protein_coding
chr6	31127652	31127680	186146	-	chr11	76373689	76373715	+	PSORS1C1	protein_coding
chr6	124813881	124813908	128129	-	chr6	124813896	124813923	+	NKAIN2	protein_coding
chr6	139726448	139726475	56203	-	chr17	19472312	19472338	+	FILNC1	lncRNA
chr6	124406040	124406067	160129	-	chrX	60928049	60928074	-	NKAIN2	protein_coding
chr6	89446791	89446818	238158	-	chr11	17896384	17896409	+	ANKRD6	protein_coding
chr6	72746899	72746926	230377	-	chr6	70977356	70977382	+	KCNQ5	protein_coding
chr6	118129013	118129040	218968	-	chr5	141573375	141573400	-	SLC35F1	protein_coding
chr6	43389570	43389597	246895	-	chr7	30464091	30464117	+	ENSG00000287055	lncRNA
chr6	119363260	119363287	128010	-	chr6	119444160	119444186	-	ENSG00000287100	lncRNA
chr6	124397298	124397325	161903	-	chr9	40793252	40793278	-	NKAIN2	protein_coding
chr6	42933806	42933833	221988	-	chr15	62147429	62147454	+	CNPY3	protein_coding
chr6	96931311	96931338	35660	-	chr14	50847766	50847791	-	KLHL32	protein_coding
chr6	125186487	125186514	97840	-	chr2	27174712	27174737	-	TPD52L1	protein_coding
chr6	124448716	124448742	208512	-	chr3	6010641	6010668	-	NKAIN2	protein_coding
chr6	142956122	142956149	206728	-	chr6	135372042	135372068	-	HIVEP2-DT	lncRNA
chr6	114965468	114965495	34436	-	chr2	156820271	156820297	-	ENSG00000287097	lncRNA
chr6	108659190	108659211	102845	-	chr5	127870932	127870958	-	FOXO3	protein_coding
chr6	72871167	72871194	244960	-	chr11	23704720	23704746	-	KCNQ5	protein_coding
chr6	113074957	113074985	53048	-	chr2	73420681	73420708	+	ENSG00000288560	lncRNA
chr6	35041074	35041101	206926	-	chr5	74549114	74549139	+	ANKS1A	protein_coding
chr6	148804667	148804694	144598	-	chr17	86886211	86886236	-	UST	protein_coding
chr6	52578947	52578973	131837	-	chr9	86846793	86846819	+	TRAM2-AS1	lncRNA
chr6	22334877	22334899	192908	-	chr4	129346755	129346781	-	CASC15	lncRNA
chr6	47800687	47800714	16877	-	chr6	47784800	47784827	+	OPN5	protein_coding
chr6	71905955	71905981	23607	-	chr16	25210471	25210497	-	RIMS1	protein_coding
chr6	96948137	96948163	71904	-	chr6	83525010	83525035	+	KLHL32	protein_coding
chr6	38834182	38834206	161654	-	chr6	38859544	38859570	-	DNAH8	protein_coding
chr6	117525663	117525690	50447	-	chr6	117612234	117612260	+	DCBLD1	protein_coding
chr6	112248139	112248167	244839	-	chr6	110467073	110467100	+	LAMA4-AS1	lncRNA
chr6	112248139	112248167	244839	-	chr6	110467073	110467100	+	ENSG00000281613	protein_coding
chr6	107596065	107596089	135096	-	chr18	45379222	45379248	-	SOBP	protein_coding
chr6	107596065	107596089	135096	-	chr18	45379222	45379248	-	ENSG00000289433	lncRNA
chr6	38054479	38054505	21107	-	chr7	119544089	119544115	-	ZFAND3	protein_coding
chr6	124965034	124965061	211216	-	chr6	127430945	127430970	-	RNF217	protein_coding
chr6	33430252	33430279	155331	-	chr6	32957345	32957372	-	SYNGAP1	protein_coding
chr6	33423893	33423920	141580	-	chr14	86558650	86558676	+	SYNGAP1	protein_coding
chr6	51464730	51464757	84444	-	chr11	110193656	110193683	-	ENSG00000212532	snoRNA
chr6	125126720	125126747	143490	-	chr9	103217497	103217523	-	TPD52L1	protein_coding
chr6	142380462	142380489	193288	-	chr6	140298203	140298228	+	ADGRG6	protein_coding
chr6	72673885	72673913	133631	-	chr1	151129305	151129331	-	KCNQ5	protein_coding
chr6	124748198	124748226	78364	-	chr6	120566566	120566592	-	NKAIN2	protein_coding
chr6	148773472	148773498	189984	-	chr9	107958103	107958129	+	UST	protein_coding
chr6	71895108	71895136	232940	-	chr2	30873622	30873648	+	RIMS1	protein_coding
chr6	72785913	72785941	156374	-	chr11	37405584	37405610	+	KCNQ5	protein_coding
chr6	52604161	52604188	213306	-	chr6	52605109	52605134	+	TRAM2-AS1	lncRNA
chr6	116151507	116151535	179061	-	chr10	28181913	28181939	-	NT5DC1	protein_coding
chr6	47569008	47569036	108663	-	chr8	25416956	25416982	+	CD2AP	protein_coding
chr6	143081506	143081532	5	-	chr6	142697031	142697057	+	AIG1	protein_coding
chr6	4787128	4787154	61664	-	chr8	27205909	27205934	+	CDYL	protein_coding
chr6	8720392	8720419	150206	-	chr13	9684186	9684212	-	ENSG00000285216	lncRNA
chr6	8720392	8720419	150206	-	chr13	9684186	9684212	-	HULC	lncRNA
chr6	122478871	122478898	124894	-	chr19	4601229	4601255	-	PKIB	protein_coding
chr6	122478871	122478898	124894	-	chr19	4601229	4601255	-	ENSG00000279114	TEC
chr6	142375552	142375579	96185	-	chr19	57380293	57380319	-	ADGRG6	protein_coding
chr6	142366133	142366160	208242	-	chr14	70141604	70141630	-	ADGRG6	protein_coding
chr6	128054978	128055004	28037	-	chr6	128024534	128024560	-	PTPRK-AS1	lncRNA
chr6	31123743	31123769	135614	-	chr6	30588424	30588450	-	PSORS1C1	protein_coding
chr6	136822973	136822999	135905	-	chr6	136685982	136686007	+	PEX7	protein_coding
chr6	71902632	71902658	227090	-	chr19	53937022	53937048	+	RIMS1	protein_coding
chr6	52579318	52579345	119671	-	chr4	24176973	24176999	+	TRAM2-AS1	lncRNA
chr6	37355673	37355700	78071	-	chr6	49095651	49095677	-	RNF8	protein_coding
chr6	8631527	8631550	90206	-	chr8	76969128	76969154	+	ENSG00000285216	lncRNA
chr6	8631527	8631550	90206	-	chr8	76969128	76969154	+	HULC	lncRNA
chr6	8721034	8721061	10902	-	chr9	33784588	33784613	+	ENSG00000285216	lncRNA
chr6	8721034	8721061	10902	-	chr9	33784588	33784613	+	HULC	lncRNA
chr6	143078342	143078369	99145	-	chr1	23172289	23172315	-	AIG1	protein_coding
chr6	108599821	108599848	36396	-	chr2	82800939	82800964	-	FOXO3	protein_coding
chr6	146624361	146624388	197699	-	chr11	54692645	54692670	+	ADGB	protein_coding
chr6	127173112	127173138	18538	-	chr6	127446427	127446453	-	RSPO3	protein_coding
chr6	119361543	119361570	148293	-	chr6	108142759	108142784	-	ENSG00000287100	lncRNA
